Critical Quality Attributes,,,,,,,,,,,,,,,,,,,,,
S.No,LIMS Data,Batch #,Item Code #,Strength (mg),Ctd Mfg Date,Assay (Potency),Content Uniformity,,,Dissolution,,,,,,,,,Disintegration,Data Entry,
,,,,,,(97.0 - 105.0 %LC),(<=15)Acceptance Value,Mean,Std Dev,Min Value,Avg % at 30 minutes (Avg) ,Disso Stage,Disso Unit 01,Disso Unit 02,Disso Unit 03,Disso Unit 04,Disso Unit 05,Disso Unit 06,(<=10)Minutes,Entered By,Date
1,1M9025W-CHEM-0049672,1M9025W,1285475,5,,100.2,2.9,99.3,1.2,94,96,S1,97,98,96,98,94,95,7,SD,5/29/2014
2,1M9053W-CHEM-0049773,1M9053W,1285475,5,,100,2.4,99.4,1,94,97,S1,94,96,97,96,99,99,9,SD,5/29/2014
3,1M9054W-CHEM-0049779,1M9054W,1285475,5,,100.9,2.4,99.7,1,96,98,S1,100,99,98,97,98,96,7,SD,5/29/2014
4,3J78033WS-CHEM-0128412,3J78033W,1285475,5,12/2/2013,100.3,2.7,100,1.1,93,95,S1,93,94,94,97,97,95,7,SD,5/29/2014
5,4B79524S-CHEM-0145462,4B79524S,1285475,5,3/25/2014,101.1,2.5,100.1,1.1,94,96,S1,97,94,95,94,95,98,7,SD,5/29/2014
6,4B79525S-CHEM-0145467,4B79525S,1285475,5,3/25/2014,100.9,3.3,100.1,1.4,93,96,S1,95,99,96,96,96,93,8,SD,5/29/2014
7,4B79526S-CHEM-0145472,4B79526S,1285475,5,3/26/2014,100.3,3.3,99,1.4,93,95,S1,95,97,95,94,93,94,7,SD,5/29/2014
8,4C88546S-CHEM-0149449,4C88546S,1285475,5,4/4/2014,100.3,4.2,99.1,1.7,92,95,S1,95,94,92,95,98,97,7,SD,5/29/2014
9,4C88547S-CHEM-0149454,4C88547S,1285475,5,4/5/2014,100.3,3.3,99.4,1.4,94,96,S1,95,98,98,94,94,98,6,SD,5/29/2014
10,4C88548S-CHEM-0149459,4C88548S,1285475,5,4/5/2014,100.8,2.5,99.2,1,94,97,S1,94,96,97,97,96,99,7,SD,5/29/2014
11,4C88549S-CHEM-0149464,4C88549S,1285475,5,4/7/2014,100.4,4.1,99.6,1.7,95,96,S1,96,96,97,96,97,95,7,SD,5/29/2014
12,4C88550S-CHEM-0149469,4C88550S,1285475,5,4/7/2014,100.7,3.8,99.4,1.6,94,97,S1,94,96,94,101,98,96,7,SD,5/29/2014
13,4C88551S-CHEM-0149474,4C88551S,1285475,5,4/8/2014,100,4.2,99.6,1.7,94,97,S1,96,94,98,98,97,99,7,SD,5/29/2014
14,4E82650S-CHEM-0159443,4E82650S,1285475,5,6/11/2014,99.2,2.2,99.7,0.9,94,96,S1,97,95,96,95,94,97,7,SD,8/26/2014
15,4F78559WS-CHEM-0161203,4F78559W,1285475,5,6/19/2014,100.2,2.5,100.5,1,93,95,S1,96,96,93,98,97,94,4,SD,12/8/2014
16,4H69385S-CHEM-0168729,4H69385S,1285475,5,8/19/2014,99.7,3.9,100.2,1.6,95,95,S1,95,95,95,95,95,95,6,SD,10/28/2014
17,4H69386S-CHEM-0168734,4H69386S,1285475,5,8/19/2014,100.2,3.5,99.7,1.4,96,97,S1,96,98,99,97,97,97,6,SD,10/28/2014
18,4H67974S-CHEM-0167372,4H67974S,1285475,5,8/20/2014,100.4,4,99.4,1.7,95,96,S1,96,97,96,96,95,96,6,SD,10/28/2014
19,4H67975S-CHEM-0167377,4H67975S,1285475,5,8/20/2014,99.9,2.8,99.5,1.2,96,97,S1,96,97,96,97,99,97,5,SD,10/28/2014
20,4H67977S-CHEM-0167382,4H67977S,1285475,5,8/21/2014,99.6,1.6,100.1,0.7,96,98,S1,96,96,98,99,98,100,5,SD,12/8/2014
21,4F78561WS-CHEM-0161214,4F78561W,1285475,5,9/15/2014,99.5,5.7,96.2,1.4,93,95,S1,96,95,94,93,95,97,7,SD,12/8/2014
22,4F78560WS-CHEM-0161208,4F78560W,1285475,5,9/17/2014,99.3,5.1,97.6,1.8,96,97,S1,98,99,96,97,99,97,6,SD,12/8/2014
23,4J82764S-CHEM-0175262,4J82764S,1285475,5,10/13/2014,100.5,2.1,100.1,0.9,96,98,S1,96,97,100,98,100,97,6,SD,12/8/2014
24,4J82765S-CHEM-0175267,4J82765S,1285475,5,10/13/2014,101.9,2.1,101.6,0.8,96,97,S1,97,98,97,97,96,97,7,SD,12/8/2014
