S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Strength,Acceptance Value,CU Ave. (%LC),CU %RSD,Ave. Disso @30 (%),Disso Min (%),Disso. Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,UNIT 07,UNIT 08,UNIT 09,UNIT10,UNIT 11,UNIT 12,Assay (%LC),Assay/Strength * 100,Ind. Imp (%),Tot. Imp. (%),Physical Imperfections (Defects),,,,,Tot. Aerobic Ct. (TAMC),Tot. Yeast/Molds Ct. (TYMC),E. Coli,Salmonella,Enterobac.
,,,,,,(<=15.0),(95.0 - 105.0),,(>=85%),,,,,,,,,,,,,,,(0.475 - 0.525),,(<=0.15%),(<=0.50%),Critical,Major,Minor,Non-Critical,Total,,,,,
1,2A6040P-MICRO-0052517,2A6040P,,1136209,0.5,3.2,98.4,1.3,100,98,S1,100,102,100,101,98,100,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
2,2A6041P-MICRO-0052522,2A6041P,,1136209,0.5,4.2,98.4,1.7,100,99,S1,100,99,99,102,101,100,,,,,,,0.495,99,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
3,2A6042P-MICRO-0052527,2A6042P,,1136209,0.5,2,98.4,0.8,97,96,S1,98,97,98,97,96,97,,,,,,,0.492,98.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
4,2A6043P-MICRO-0052532,2A6043P,,1136209,0.5,2.5,99.9,1,97,92,S1,93,99,100,101,99,92,,,,,,,0.493,98.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
5,2A6044P-MICRO-0052537,2A6044P,,1136209,0.5,3.4,100.3,1.4,96,94,S1,94,95,98,98,95,98,,,,,,,0.499,99.8,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
6,2A6045P-MICRO-0052542,2A6045P,,1136209,0.5,3.5,98.5,1.4,97,94,S1,95,94,97,95,100,98,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
7,2A6046P-MICRO-0052547,2A6046P,,1136209,0.5,3.5,99.3,1.4,98,96,S1,99,100,96,99,100,96,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
8,2A6066P-MICRO-0054721,2A6066P,,1136209,0.5,3.1,99.5,1.3,98,96,S1,96,100,98,100,97,99,,,,,,,0.498,99.6,<0.10,<0.10,0,0,0,2,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
9,2A6067P-MICRO-0054726,2A6067P,,1136209,0.5,2.8,99.4,1.2,98,92,S1,92,98,101,98,99,99,,,,,,,0.501,100.2,<0.10,<0.10,0,0,1,2,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
10,2B6005P-MICRO-0054731,2B6005P,,1136209,0.5,2.5,99.4,1.1,98,94,S1,94,98,100,98,98,99,,,,,,,0.496,99.2,<0.10,<0.10,0,0,1,1,2,<10,<5,ABSENT_1G,ABSENT_10G,<10
11,2B6006P-MICRO-0054736,2B6006P,,1136209,0.5,2,98.8,0.8,98,94,S1,94,100,97,101,99,94,,,,,,,0.497,99.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
12,2B6007P-MICRO-0054741,2B6007P,,1136209,0.5,3.4,98,1.2,97,90,S1,90,99,100,99,98,96,,,,,,,0.487,97.4,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
13,2B6008P-MICRO-0054746,2B6008P,,1136209,0.5,3.7,98,1.3,100,95,S1,95,100,101,102,102,98,,,,,,,0.5,100,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
14,2B6009P-MICRO-0054751,2B6009P,,1136209,0.5,4.8,99.1,2,99,88,S2,88,101,99,102,100,99,99,100,99,101,103,95,0.488,97.6,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
15,2B6010P-MICRO-0054756,2B6010P,,1136209,0.5,3,98.6,1.3,98,92,S1,92,99,101,98,101,98,,,,,,,0.491,98.2,<0.10,<0.10,0,0,0,1,1,<10,<5,ABSENT_1G,ABSENT_10G,<10
16,2B6011P-MICRO-0054761,2B6011P,,1136209,0.5,3.8,99,1.6,98,91,S1,91,100,100,96,101,101,,,,,,,0.49,98,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
17,2B6012P-MICRO-0054766,2B6012P,,1136209,0.5,2.5,98.7,1.1,100,96,S1,100,100,96,101,99,102,,,,,,,0.49,98,<0.10,<0.10,0,0,0,3,3,<10,<5,ABSENT_1G,ABSENT_10G,<10
18,2B6013P-MICRO-0054771,2B6013P,,1136209,0.5,2.4,98.6,1,100,98,S1,98,100,100,100,103,100,,,,,,,0.496,99.2,<0.10,<0.10,0,0,0,0,0,<10,<5,ABSENT_1G,ABSENT_10G,<10
