S.No,Batch no.,,Item Code,Mfg Date,Strength,Potency (Assay),Content Uniformity ,,,Dissolution,,,,,,,,,AQL (Physical appearance),,,,
,,,,,(mg),(95.5 - 103.5%),(Avg % of Lab results) (95.5 - 103.5%),Std Deviation % Lab results,Acceptance Value (<=15.0),Average (>=80% (Q)),Minimum,Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,No. Critical,No.Major,No. Minor,No. Non-Critical,Total
1,1J67783,Clinical,,,30,,99,,,,,,92,90,93,92,93,94,,,,,
2,2A75790,LTSS,,,30,99.7,100.1,1.1,,,,,96,99,94,100,99,99,,,,,
3,2A75793,LTSS,,,30,100,100,1,,,,,93,96,94,95,96,97,,,,,
4,2A75795,LTSS,,,30,99.7,99.7,1.2,,,,,93,92,94,97,96,93,,,,,
5,2E71070,LTSS,,,30,100,100.7,1.1,,,,,93,95,92,96,95,94,,,,,
6,2G9019X,TT,,,30,97.7,97.3,2.2,,,,,90,93,93,95,93,92,,,,,
8,3A9009X,TT,1300941X0,,30,98.3,97.4,1.2,,,,,95,91,93,97,84,94,,,,,
9,3G77727S,PJ,1300941X0,,30,97.7,98.1,2.3,5.9,95,92,S1,92,95,95,95,96,94,0,0,0,0,0
10,3K76022WS,PPQ,1300941,10/25/2013,30,98.9,101.3,1.7,4.2,95,94,S1,95,96,95,97,95,94,0,0,0,0,0
11,3K76023WS,PPQ,1300941,10/23/2013,30,100.8,101.2,1.4,3.5,96,95,S1,97,97,95,96,95,95,0,0,0,0,0
12,3K76024WS,PPQ,1300941,10/24/2013,30,100.3,101.5,0.9,2.2,96,95,S1,95,95,97,97,95,95,0,0,1,0,1
13,4A84161WS,,1300941,2/12/2014,30,101.1,99.5,1.6,3.8,94,90,S1,95,92,97,98,91,90,0,0,0,0,0
14,4E78553WS,,1300941,5/29/2015,30,100.4,101,2.2,5.3,98,96,S1,98,96,98,101,96,97,0,0,0,0,0
15,4E78554WS,,1300941,5/30/2014,30,99.2,100.7,1.5,3.6,97,95,S1,96,97,98,100,97,95,0,0,0,0,0
16,4E78555WS,,1300941,5/30/2014,30,100.1,98.5,2.1,5.1,97,96,S1,96,98,97,98,96,96,0,0,0,0,0
17,4M56762S,,1300941,1/16/2015,30,99.3,100.8,2,4.7,101,99,S1,99,99,103,102,99,103,0,0,1,0,1
