S.No,LIMS Authorized batches,Batch no.,,Item Code,Mfg Date,Strength,Potency (Assay),Content Uniformity ,,,,,,Dissolution,,,,,,,,,AQL (Physical appearance),,,,
,,,,,,(mg),(95.5 - 103.5%),(Avg % of Lab results) (95.5 - 103.5%),Std Deviation % Lab results,Acceptance Value (<=15.0),%RSD,CV % Limit,Tier,Average (>=80% (Q)),Minimum,Stage,UNIT 01,UNIT 02,UNIT 03,UNIT 04,UNIT 05,UNIT 06,No. Critical,No.Major,No. Minor,No. Non-Critical,Total
1,,1G66006,Clinical,,,60,,100.9,,,,,,,,,93,93,92,92,93,93,,,,,
2,,1G66009,Clinical,,,60,,101.4,,,,,,,,,96,96,96,96,96,96,,,,,
3,,1J67801,Clinical,,,60,,99.8,,,,,,,,,94,94,94,95,94,95,,,,,
4,,1L66791,Clinical,,,60,,99,,,,,,,,,95,96,95,92,96,95,,,,,
5,,2E71071,Clinical,,,60,,98.6,,,,,,,,,95,94,94,94,93,94,,,,,
6,,2B69338,LTSS,,,60,99.8,101.5,1.2,,,,,,,,95,98,97,95,99,98,,,,,
7,,2B69386,LTSS,,,60,100.2,100.3,1.2,,,,,,,,96,97,96,94,94,96,,,,,
8,,2B69387,LTSS,,,60,98.2,99.5,2.1,,,,,,,,97,93,95,94,96,96,,,,,
9,,2E71608,LTSS,,,60,99.8,99.8,0.9,,,,,,,,93,91,91,90,90,92,,,,,
10,,2G9018X,Experimental,,,60,,,,,,,,,,,,,,,,,,,,,
11,,2G9019X,Experimental,,,60,,,,,,,,,,,,,,,,,,,,,
12,,2H9010X,TT,1305835X0,,60,99.2,97.9,1.5,,,,,,,,95,93,95,94,92,94,,,,,
13,,2K9011X,TT,1303085X0,,60,98.7,98.8,2.2,,,,,,,,95,92,92,93,92,94,,,,,
14,,3A9010X - A,TT,1305835X0,,60,97.8,97.8,0.9,,,,,,,,96,93,96,96,95,94,,,,,
,,3A9010X - B,TT,,,60,,97.8,,,,,,,,,96,93,93,92,93,92,,,,,
15,,3D9014X,Experimental,1305835X0,,60,,,,,,,,,,,,,,,,,0,0,0,0,0
16,,3D9015X,Experimental,1305835X0,,60,,,,,,,,,,,,,,,,,,,,,
17,,3D9016X,Experimental,1305835X0,,60,,,,,,,,,,,,,,,,,0,0,0,0,0
18,,3G77726S,PJ,1303085X0,,60,100.1,97.4,2.1,6.1,,,,95,93,S1,95,93,95,95,94,97,0,0,0,0,0
19,3K76025WS-MICRO-0131453,3K76025WS,PPQ,1303085,10/15/2013,60,99.6,102.2,1.7,4.8,,,,97,95,S1,97,95,97,97,97,97,0,0,3,0,3
20,3K76026WS-MICRO-0131435,3K76026WS,PPQ,1303085,10/16/2013,60,100.3,101,1.9,4.5,,,,97,96,S1,97,97,96,96,97,96,0,0,2,0,2
