S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,TOTAL NUMBER DEFECTS
1,2A5010P-CHEM-0051110,2A5010P,,1106588A1,NO,102,100,S1,104,100,101,103,102,103,,,,,,,3.6,102,1.3,204,0.06,0,0,0,0,0
2,2A5011P-CHEM-0051114,2A5011P,,1106588A1,YES,102,101,S1,101,103,102,103,102,103,,,,,,,2.6,100.9,1.1,201.8,0.07,0,0,0,0,0
3,2A5016P-CHEM-0051122,2A5016P,,1106588A1,NO,101,99,S1,102,99,99,101,102,101,,,,,,,1.9,101.1,0.8,202.1,0.06,0,0,0,1,1
4,2C5006P-CHEM-0057302,2C5006P,,1106588A1,NO,100,96,S1,102,102,101,99,96,97,,,,,,,2.9,100.7,1.2,201.3,<0.05,0,0,0,0,0
5,2C5007P-CHEM-0057306,2C5007P,,1106588A1,NO,98,95,S1,97,103,102,96,97,95,,,,,,,2.4,100.8,1,201.6,0.05,0,0,0,1,1
6,2C5008P-CHEM-0057310,2C5008P,,1106588A1,NO,99,93,S1,102,102,101,100,98,93,,,,,,,3.6,100.9,1.5,201.7,<0.05,0,0,0,1,1
7,2C5009P-CHEM-0057314,2C5009P,,1106588A1,NO,99,93,S1,103,100,101,98,99,93,,,,,,,1.9,101,0.8,202,0.06,0,0,0,0,0
8,2C5016P-CHEM-0060013,2C5016P,,1106588A1,NO,101,100,S1,103,102,100,101,101,102,,,,,,,2.9,100.4,1.2,200.8,0.06,0,0,0,12,12
9,2C5017P-CHEM-0060017,2C5017P,,1106588A1,NO,102,100,S1,103,103,103,100,102,101,,,,,,,2.2,99.9,0.9,199.8,0.06,0,0,1,15,16
10,2C5018P-CHEM-0060021,2C5018P,,1106588A1,NO,99,95,S1,99,103,100,99,95,98,,,,,,,3.8,101,1.6,202,0.06,0,0,0,0,0
11,2C5019P-CHEM-0060028,2C5019P,,1106588A1,NO,98,95,S1,99,101,95,95,98,97,,,,,,,3.1,101.1,1.3,202.2,0.06,0,0,0,0,0
12,2C5020P-CHEM-0060035,2C5020P,,1106588A1,NO,99,95,S1,101,99,102,98,98,95,,,,,,,4,102.9,1.1,205.7,0.06,0,0,0,0,0
13,2C5021P-CHEM-0060039,2C5021P,,1106588A1,YES,99,95,S1,104,99,99,99,98,95,,,,,,,2.9,101,1.2,202,0.06,0,0,0,0,0
14,2D5013P-CHEM-0061740,2D5013P,,1106588A1,NO,99,94,S1,100,101,99,99,99,94,,,,,,,2.4,100.6,1,201.1,0.06,0,1,10,7,18
15,2D5014P-CHEM-0061744,2D5014P,,1106588A1,NO,98,95,S1,101,101,100,96,97,95,,,,,,,2.9,101.5,1.2,202.9,0.05,0,0,8,4,12
16,2D5018P-CHEM-0061758,2D5018P,,1106588A1,NO,98,91,S1,102,100,99,91,98,96,,,,,,,2.5,101.8,0.9,203.5,0.05,0,0,0,0,0
17,2D5015P-CHEM-0061809,2D5015P,,1106588A1,NO,97,92,S1,99,99,92,98,98,95,,,,,,,2.2,101.4,0.9,202.7,<0.05,0,0,2,2,4
18,2E5003P-CHEM-0065960,2E5003P,,1106588A1,NO,97,93,S1,100,101,95,96,97,93,,,,,,,3.1,102,1.1,204.1,0.06,0,0,5,6,11
19,2E5005P-CHEM-0065973,2E5005P,,1106588A1,NO,98,95,S1,102,99,98,96,95,95,,,,,,,2.6,101.3,1.1,202.6,0.07,0,0,0,0,0
20,2E5004P-CHEM-0066124,2E5004P,,1106588A1,NO,98,94,S1,100,102,100,94,94,98,,,,,,,2.9,102.2,0.9,204.3,0.07,0,0,0,0,0
21,2E5067P-CHEM-0067353,2E5067P,,1106588A1,NO,98,95,S1,100,99,95,96,99,96,,,,,,,2.9,100.7,1.2,201.5,0.06,0,0,0,0,0
22,2E5068P-CHEM-0067357,2E5068P,,1106588A1,NO,99,94,S1,103,100,102,99,94,95,,,,,,,2.4,100.7,1,201.3,0.06,0,0,0,0,0
23,2F5004P-CHEM-0069871,2F5004P,,1106588A1,NO,97,95,S1,97,100,97,96,97,95,,,,,,,2.4,101.4,1,202.7,0.06,0,0,0,0,0
24,2F5005P-CHEM-0069878,2F5005P,,1106588A1,NO,98,93,S1,102,101,98,93,96,98,,,,,,,3.3,102.4,1,204.8,<0.05,0,0,1,0,1
25,2F5006P-CHEM-0069885,2F5006P,,1106588A1,NO,97,95,S1,102,101,95,95,96,95,,,,,,,3.1,101,1.3,202.1,<0.05,0,0,0,0,0
26,2F5007P-CHEM-0069892,2F5007P,,1106588A1,NO,96,92,S1,100,96,100,95,95,92,,,,,,,1.7,100.5,0.7,201,<0.05,0,0,0,0,0
27,2F5008P-CHEM-0069896,2F5008P,,1106588A1,NO,101,100,S1,101,102,101,103,101,100,,,,,,,1.9,99.8,0.8,199.5,0.06,0,0,1,0,1
28,2F5056P-CHEM-0071686,2F5056P,,1106588A1,NO,102,101,S1,101,102,103,102,103,101,,,,,,,2.3,101.6,0.9,203.1,0.06,0,0,0,0,0
29,2F5057P-CHEM-0071690,2F5057P,,1106588A1,NO,103,100,S1,104,100,102,102,103,104,,,,,,,3.4,101.4,1.4,202.7,0.06,0,0,0,0,0
30,2F5058P-CHEM-0071697,2F5058P,,1106588A1,NO,102,101,S1,102,102,103,103,102,101,,,,,,,2.4,99,1,198.1,0.05,0,0,0,0,0
31,2F5059P-CHEM-0071704,2F5059P,,1106588A1,NO,103,102,S1,102,102,103,104,102,103,,,,,,,2.6,101.2,1.1,202.4,0.05,0,0,0,0,0
32,2G5008P-CHEM-0073259,2G5008P,,1106588A1,NO,101,98,S1,100,104,98,101,103,98,,,,,,,4,102.6,1.2,205.1,0.08,0,0,0,0,0
33,2G5009P-CHEM-0073266,2G5009P,,1106588A1,YES,103,101,S1,104,101,104,102,102,104,,,,,,,3.4,102.3,1.1,204.7,0.07,0,0,0,0,0
34,2G5054P-CHEM-0073270,2G5054P,,1106588A1,NO,102,100,S1,100,101,104,104,102,104,,,,,,,3.4,101.4,1.4,202.9,0.07,0,0,0,0,0
35,2G5118P-CHEM-0076041,2G5118P,,1106588A1,NO,102,101,S1,101,102,102,103,102,102,,,,,,,4.3,100.2,1.8,200.3,0.06,0,0,0,2,2
36,2G5119P-CHEM-0076048,2G5119P,,1106588A1,NO,102,101,S1,102,104,103,102,101,101,,,,,,,2.4,99.8,1,199.5,0.05,0,0,0,7,7
37,2H5087P-CHEM-0079552,2H5087P,,1106588A1,NO,101,100,S1,102,101,101,100,101,103,,,,,,,3.2,102.3,1,204.6,<0.05,0,0,0,3,3
38,2H5088P-CHEM-0079556,2H5088P,,1106588A1,NO,101,98,S1,103,100,101,98,103,101,,,,,,,4.2,102.3,1.4,204.7,0.05,0,0,0,0,0
39,2H5089P-CHEM-0079560,2H5089P,,1106588A1,NO,104,103,S1,103,103,104,106,107,103,,,,,,,2.7,101.8,1,203.5,<0.05,0,0,0,4,4
40,2H5114P-CHEM-0080917,2H5114P,,1106588A1,NO,101,99,S1,101,103,102,103,99,101,,,,,,,3.1,101.1,1.3,202.1,<0.05,0,0,1,0,1
41,2H5115P-CHEM-0080924,2H5115P,,1106588A1,NO,102,99,S1,102,100,99,102,103,104,,,,,,,2.9,100.2,1.2,200.4,<0.05,0,0,0,0,0
42,2H5116P-CHEM-0080931,2H5116P,,1106588A1,NO,101,100,S1,101,101,104,100,101,101,,,,,,,3.8,101.7,1.5,203.3,<0.05,0,0,0,2,2
43,2H5117P-CHEM-0080935,2H5117P,,1106588A1,NO,102,99,S1,102,105,102,103,102,99,,,,,,,3.7,101.6,1.5,203.2,0.05,0,0,0,0,0
44,2H5118P-CHEM-0080939,2H5118P,,1106588A1,NO,100,99,S1,100,101,100,100,100,99,,,,,,,2.2,101.2,0.9,202.3,<0.05,0,0,0,0,0
45,2H5119P-CHEM-0080943,2H5119P,,1106588A1,NO,101,100,S1,100,101,102,101,102,101,,,,,,,3.4,100.9,1.4,201.7,<0.05,0,0,0,0,0
