S.No,LIMS Batch No.,Batch No.,Mfg Date,Item Code,Alert Notice,Disso-Avg (Avg % dissolved in 30mins: 85% (Q),Disso - Min,Disso-Stage,DS -UNIT 01,DS - UNIT 02,DS - UNIT 03,DS - UNIT 04,DS - UNIT 05,DS - UNIT 06,DS - UNIT 07,DS - UNIT 08,DS - UNIT 09,DS - UNIT 10,DS - UNIT 11,DS - UNIT 12,CU - Acceptance Value (<=15.0),CU - Percent of Label,CU - Std Deviation,Potency Assay (289.8 - 315.0 mg (mg/capsule),Total Impurities (<=0.05%),NUMBER CRITICAL,NUMBER MAJOR,NUMBER MINOR,NUMBER NONCRITICAL,Total Number Defects
1,2A5001P-CHEM-0051074,2A5001P,,1196782A1,NO,100,98,S1,101,98,100,100,101,100,,,,,,,2.9,99.2,1.2,297.7,<0.05,0,0,0,0,0
2,2A5002P-CHEM-0051078,2A5002P,,1196782A1,YES,97,91,S1,93,102,91,100,100,99,,,,,,,3.1,100.2,1.3,300.6,<0.05,0,0,0,0,0
3,2A5003P-CHEM-0051082,2A5003P,,1196782A1,NO,99,86,S2,86,99,101,100,100,102,101,99,99,102,100,97,2.9,100.6,1.2,301.7,<0.05,0,0,0,0,0
4,2A5004P-CHEM-0051086,2A5004P,,1196782A1,NO,101,98,S1,103,102,98,100,101,102,,,,,,,2.9,100.9,1.2,302.8,<0.05,0,0,0,0,0
5,2A5005P-CHEM-0051090,2A5005P,,1196782A1,NO,100,99,S1,100,100,101,100,99,99,,,,,,,2.9,100.7,1.2,302.1,<0.05,0,0,0,1,1
6,2A5006P-CHEM-0051094,2A5006P,,1196782A1,NO,100,97,S1,100,100,97,101,101,100,,,,,,,2.4,100.6,1,301.7,<0.05,0,0,0,2,2
7,2A5007P-CHEM-0051098,2A5007P,,1196782A1,NO,100,99,S1,99,99,103,100,99,102,,,,,,,3.1,100.6,1.3,301.7,<0.05,0,0,0,0,0
8,2A5008P-CHEM-0051102,2A5008P,,1196782A1,NO,101,97,S1,103,102,101,97,102,101,,,,,,,4.8,100.8,2,302.4,<0.05,0,0,0,0,0
9,2A5009P-CHEM-0051106,2A5009P,,1196782A1,NO,97,91,S1,100,100,99,96,98,91,,,,,,,1.7,100.7,0.7,302,<0.05,0,0,0,0,0
10,2A5073P-CHEM-0053498,2A5073P,,1196782A1,NO,97,92,S1,99,92,99,99,96,95,,,,,,,3.1,99.8,1.3,299.3,<0.05,0,0,0,1,1
11,2A5074P-CHEM-0053502,2A5074P,,1196782A1,NO,97,93,S1,100,100,98,99,93,93,,,,,,,2.9,100,1.2,299.9,<0.05,0,0,0,0,0
12,2A5075P-CHEM-0053506,2A5075P,,1196782A1,NO,98,94,S1,101,101,100,99,96,94,,,,,,,3.1,99.3,1.3,297.8,<0.05,0,0,0,0,0
13,2A5076P-CHEM-0053513,2A5076P,,1196782A1,NO,99,96,S1,102,97,100,101,96,97,,,,,,,2.4,100.7,1,302.2,<0.05,0,0,0,2,2
14,2A5077P-CHEM-0053517,2A5077P,,1196782A1,NO,96,91,S1,96,101,93,101,94,91,,,,,,,2.7,102,0.9,306.1,<0.05,0,0,0,0,0
15,2A5078P-CHEM-0053521,2A5078P,,1196782A1,NO,97,94,S1,103,94,99,97,98,94,,,,,,,2.6,100.4,1.1,301.3,<0.05,0,0,0,0,0
16,2A5079P-CHEM-0053525,2A5079P,,1196782A1,NO,98,94,S1,102,99,100,96,94,97,,,,,,,2.6,100.5,1.1,301.4,<0.05,0,0,0,1,1
17,2A5080P-CHEM-0053529,2A5080P,,1196782A1,YES,97,94,S1,98,100,95,100,95,94,,,,,,,3.1,100.8,1.3,302.3,<0.05,0,0,0,0,0
18,2A5081P-CHEM-0053533,2A5081P,,1196782A1,NO,98,94,S1,98,100,103,96,94,95,,,,,,,2.4,99.3,1,298,<0.05,0,0,0,1,1
19,2A5082P-CHEM-0053537,2A5082P,,1196782A1,NO,98,94,S1,100,100,99,95,97,94,,,,,,,1.4,100.1,0.6,300.3,<0.05,0,0,0,1,1
20,2A5083P-CHEM-0053541,2A5083P,,1196782A1,NO,98,93,S1,99,101,97,101,95,93,,,,,,,2.2,100.5,0.9,301.5,<0.05,0,0,0,0,0
21,2A5084P-CHEM-0053546,2A5084P,,1196782A1,NO,97,95,S1,97,102,100,95,95,95,,,,,,,2.7,102,0.9,305.9,<0.05,0,0,0,0,0
22,2B5007P-CHEM-0054862,2B5007P,,1196782A1,NO,96,88,S2,96,97,101,97,96,88,99,99,100,96,96,92,1.9,99.8,0.8,299.4,<0.05,0,0,0,0,0
23,2B5008P-CHEM-0054866,2B5008P,,1196782A1,NO,97,96,S1,96,99,99,99,96,96,,,,,,,2.6,100.9,1.1,302.6,<0.05,0,0,0,1,1
24,2B5009P-CHEM-0054870,2B5009P,,1196782A1,NO,97,94,S1,99,98,98,100,94,94,,,,,,,1.9,99.3,0.8,297.9,<0.05,0,0,0,0,0
25,2B5010P-CHEM-0054874,2B5010P,,1196782A1,NO,97,94,S1,96,98,100,96,94,97,,,,,,,2.4,100.3,1,300.9,<0.05,0,0,0,0,0
26,2B5011P-CHEM-0054878,2B5011P,,1196782A1,NO,100,99,S1,101,99,101,101,99,99,,,,,,,2.6,100.7,1.1,302,<0.05,0,0,0,0,0
27,2B5012P-CHEM-0054882,2B5012P,,1196782A1,NO,97,91,S1,102,101,99,96,94,91,,,,,,,2.6,99.4,1.1,298.1,<0.05,0,0,0,0,0
28,2B5016P-CHEM-0054904,2B5016P,,1196782A1,NO,96,81,S2,99,100,100,98,81,93,102,99,88,100,91,97,3.6,100.2,1.5,300.7,<0.05,0,0,0,3,3
29,2B5017P-CHEM-0054908,2B5017P,,1196782A1,NO,99,97,S1,100,102,101,100,97,97,,,,,,,2.9,100.5,1.2,301.4,<0.05,0,0,0,3,3
30,2B5018P-CHEM-0054912,2B5018P,,1196782A1,NO,97,91,S1,99,99,101,101,91,91,,,,,,,2.6,100.7,1.1,302,<0.05,0,0,0,0,0
31,2B5019P-CHEM-0054916,2B5019P,,1196782A1,NO,99,94,S1,102,102,100,100,94,95,,,,,,,3.1,102,1.1,305.9,<0.05,0,0,0,1,1
32,2B5020P-CHEM-0054920,2B5020P,,1196782A1,NO,99,94,S1,101,100,102,101,94,94,,,,,,,2.2,101.5,0.9,304.5,<0.05,0,0,0,0,0
33,2B5021P-CHEM-0054924,2B5021P,,1196782A1,NO,99,94,S1,102,100,101,101,98,94,,,,,,,2.9,102,1,306.1,<0.05,0,0,0,4,4
34,2B5022P-CHEM-0054928,2B5022P,,1196782A1,NO,100,94,S1,101,101,101,104,97,94,,,,,,,2.8,101.7,1.1,305.1,<0.05,0,0,0,3,3
35,2B5023P-CHEM-0054932,2B5023P,,1196782A1,NO,98,91,S1,102,98,103,101,94,91,,,,,,,2.4,101.4,1,304.2,<0.05,0,0,0,2,2
36,2B5024P-CHEM-0054936,2B5024P,,1196782A1,NO,100,94,S1,101,103,101,103,95,94,,,,,,,3.3,101.7,1.3,305,<0.05,0,0,0,2,2
37,2B5025P-CHEM-0054940,2B5025P,,1196782A1,NO,97,94,S1,100,99,98,95,98,94,,,,,,,1.9,100.4,0.8,301.1,<0.05,0,0,0,1,1
38,2B5026P-CHEM-0054944,2B5026P,,1196782A1,NO,98,96,S1,99,100,100,97,96,96,,,,,,,2.6,101.1,1.1,303.2,<0.05,0,0,1,0,1
39,2B5104P-CHEM-0057246,2B5104P,,1196782A1,NO,95,90,S1,90,99,98,97,96,92,,,,,,,2.4,100.2,1,300.7,<0.05,0,1,0,0,1
40,2B5105P-CHEM-0057250,2B5105P,,1196782A1,NO,98,91,S1,101,102,98,99,99,91,,,,,,,2.6,101.5,1.1,304.6,<0.05,0,1,0,3,4
41,2B5106P-CHEM-0057254,2B5106P,,1196782A1,NO,93,83,S2,83,99,97,94,96,92,99,97,98,83,91,93,2.6,100.4,1.1,301.3,<0.05,0,0,0,0,0
42,2B5107P-CHEM-0057258,2B5107P,,1196782A1,NO,96,94,S1,99,95,98,96,96,94,,,,,,,3.1,100.6,1.3,301.9,<0.05,0,0,0,0,0
43,2B5108P-CHEM-0057262,2B5108P,,1196782A1,NO,95,91,S1,96,93,96,95,97,91,,,,,,,3.4,99.3,1.4,297.8,<0.05,0,0,0,0,0
44,2B5109P-CHEM-0057266,2B5109P,,1196782A1,NO,97,89,S2,99,100,101,95,97,89,100,101,100,95,92,93,1.9,101.5,0.8,304.5,<0.05,0,0,0,1,1
45,2B5110P-CHEM-0057270,2B5110P,,1196782A1,NO,98,93,S1,101,104,98,99,93,93,,,,,,,2.4,100.9,1,302.7,<0.05,0,0,0,3,3
46,2B5111P-CHEM-0057274,2B5111P,,1196782A1,NO,97,95,S1,98,97,95,100,98,95,,,,,,,3.1,100.8,1.3,302.4,<0.05,0,0,0,2,2
47,2B5112P-CHEM-0057278,2B5112P,,1196782A1,NO,98,94,S1,99,101,102,98,94,94,,,,,,,2.4,100,1,300,<0.05,0,0,0,0,0
48,2B5113P-CHEM-0057282,2B5113P,,1196782A1,NO,97,94,S1,97,99,101,94,94,95,,,,,,,2.2,100.7,0.9,302.2,<0.05,0,0,1,0,1
49,2C5004P-CHEM-0057294,2C5004P,,1196782A1,NO,98,94,S1,101,100,101,98,96,94,,,,,,,2.9,101.2,1.2,303.5,<0.05,0,0,0,1,1
50,2C5005P-CHEM-0057298,2C5005P,,1196782A1,NO,96,93,S1,99,100,98,93,95,93,,,,,,,2.2,101.4,0.9,304.3,<0.05,0,1,0,2,3
51,2B5125P-CHEM-0058350,2B5125P,,1196782A1,NO,99,95,S1,99,101,101,98,98,95,,,,,,,2.5,101.6,1,304.8,<0.05,0,0,0,1,1
52,2B5126P-CHEM-0058356,2B5126P,,1196782A1,NO,98,96,S1,96,99,98,98,98,96,,,,,,,2.2,101.2,0.9,303.6,<0.05,0,0,0,3,3
53,2C5010P-CHEM-0059989,2C5010P,,1196782A1,NO,98,90,S1,101,102,100,98,96,90,,,,,,,2.6,101.1,1.1,303.2,<0.05,0,0,0,3,3
