S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay ,Content Uniformity,,,Dissolution,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,(19.0 - 21.0 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
1,1C6048P-MICRO-0019379,1C6048P,1184405,20,,20.2,101,1.3,101.3,0.5,99,97,S1,97,101,101,98,98,100,30,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
2,1D6048P-MICRO-0023262,1D6048P,1184405,20,,19.7,98.5,2.9,99.6,1.2,97,95,S1,97,98,98,95,95,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
3,1F6034P-MICRO-0028564,1F6034P,1184405,20,,20,100,3.7,101.1,1.5,97,96,S1,98,96,97,99,96,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
4,1H6043P-MICRO-0035754,1H6043P,1184405,20,,20.3,101.5,5,101.6,2,97,94,S1,98,94,95,97,100,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
5,1J6041P-MICRO-0040391,1J6041P,1184405,20,,20.1,100.5,4.1,100,1.7,94,91,S1,91,93,95,96,91,98,<10,10,ABSENT_1G,ABSENT_10G,<10,0,1,0,0,1
6,1K6028P-MICRO-0042501,1K6028P,1184405,20,,20.1,100.5,4.6,100,1.9,97,94,S1,96,100,95,97,97,94,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
7,1M6013P-MICRO-0048889,1M6013P,1184405,20,,20,100,1.3,101.1,0.6,100,98,S1,101,98,100,99,103,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
8,2A6002P-MICRO-0051012,2A6002P,1184405,20,,19.7,98.5,1.7,100,0.7,96,94,S1,95,94,94,98,94,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
9,2B6040P-MICRO-0056349,2B6040P,1184405,20,,19.2,96,7.5,95.1,1.7,93,91,S1,91,95,98,91,92,91,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
10,2C6052P-MICRO-0061206,2C6052P,1184405,20,,19.8,99,2.6,98.5,1.1,98,94,S1,94,98,98,98,99,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
11,2D6045P-MICRO-0063584,2D6045P,1184405,20,,19.2,96,8.1,97.5,3,94,92,S1,92,95,94,92,93,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
12,2G6015P-MICRO-0073644,2G6015P,1184405,20,,19.7,98.5,5.3,97.9,1.9,95,91,S1,91,96,97,95,92,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
13,2H6023P-MICRO-0077634,2H6023P,1184405,20,,19.7,98.5,2.2,99.3,0.9,95,92,S1,96,98,92,93,95,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,1,1
14,2H6024P-MICRO-0077639,2H6024P,1184405,20,,20,100,3.5,100.4,1.5,95,93,S1,96,93,93,93,98,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
15,2L6026P-MICRO-0089993,2L6026P,1184405,20,,19.6,98,2.6,97.8,0.8,97,93,S1,93,98,98,97,97,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
16,2M6021P-MICRO-0092405,2M6021P,1184405,20,,19.8,99,6,99,2.5,99,94,S1,100,102,94,98,102,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
17,3B6003P-MICRO-0098794,3B6003P,1184405,20,,20,100,2.4,100,1,96,94,S1,94,94,98,97,97,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
18,3B6004P-MICRO-0098799,3B6004P,1184405,20,,20.2,101,1.3,100.3,0.5,96,91,S1,97,96,100,96,91,94,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
19,3C6019P-MICRO-0104472,3C6019P,1184405,20,,19.4,97,6.6,97.8,2.5,96,93,S1,94,99,102,93,95,96,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
20,3C6045P-MICRO-0104592,3C6045P,1184405,20,,20.2,101,2.1,101.6,0.9,100,97,S1,97,100,99,101,100,100,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
21,3E6003P-MICRO-0108585,3E6003P,1184405,20,,19.3,96.5,2.6,98.5,1.1,92,85,S1,92,92,85,96,90,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
22,3F6014P-MICRO-0112191,3F6014P,1184405,20,,19.9,99.5,7.3,101.1,3,98,95,S1,99,100,95,99,95,102,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
23,3H65366S-MICRO-0122480,3H65366S,1184405,20,,19.9,99.5,1.8,98.1,0.6,98,96,S1,96,100,100,98,98,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
24,3H65372S-MICRO-0122531,3H65372S,1184405,20,,20.2,101,5.6,102.1,2.1,99,98,S1,98,99,98,101,99,100,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
25,3J75331S-MICRO-0126132,3J75331S,1184405,20,,20,100,3,101,1.2,96,93,S1,96,97,93,98,95,100,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
26,3L73705S-MICRO-0134032,3L73705S,1184405,20,,19.7,98.5,2.3,98.9,1,94,89,S1,96,89,95,97,94,94,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,0,1
27,3M54993S-MICRO-0138318,3M54993S,1184405,20,,20.1,100.5,2.3,100.5,1,99,98,S1,101,99,98,98,100,99,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
