S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,66.5.0 - 73.5 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
1,1B6030P-MICRO-0016257,1B6030P,1190979,70,,69.1,98.71,3,98.8,1.3,94,92,S1,93,94,96,95,95,92,<10,<10,ABSENT_1G,ABSENT_10G,<10,,,,,
2,1C6050P-MICRO-0019413,1C6050P,1190979,70,,67.1,95.86,4.1,97.5,1.3,97,93,S1,93,97,95,99,100,98,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
3,1D6049P-MICRO-0023267,1D6049P,1190979,70,,70,100.00,3.2,99.4,1.3,95,92,S1,98,95,92,96,95,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
4,1G6055P-MICRO-0032315,1G6055P,1190979,70,,69.3,99.00,3.6,98.2,1.4,96,93,S1,98,97,97,97,94,93,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
5,1H6044P-MICRO-0035759,1H6044P,1190979,70,,70.7,101.00,2.4,101.1,1,93,89,S1,99,91,91,93,89,92,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
6,1K6029P-MICRO-0042589,1K6029P,1190979,70,,72.6,103.71,2.7,98.2,1,93,90,S1,94,92,90,96,94,94,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,1,0,0,1
7,1M6010P-MICRO-0048911,1M6010P,1190979,70,,68.2,97.43,2.6,98.2,1,94,92,S1,94,92,93,95,96,97,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
8,2B6048P-MICRO-0056384,2B6048P,1190979,70,,69.1,98.71,4.7,97.7,1.6,93,89,S1,89,94,94,96,92,91,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
9,2C6055P-MICRO-0061156,2C6055P,1190979,70,,69.5,99.29,3.1,97.5,0.9,93,89,S1,89,94,93,95,92,95,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
