S.No.,LIMS Entry,Batch No.,Item Code,Strength (mg),Mfg Date,Assay,Assay,Content Uniformity,,,Dissolution,,,,,,,,,,,,,,,Micro Testing,,,,,Physical Defects,,,,
,,,,,,(76.0 - 84.0 mg/tablet),(95.0 - 105.0%) ,Acceptance Value (<=15.0),Avg Percentage of Label  (95.0 - 105.0),Std Deviation,Avg  (>=85),Min,Stage,Disso - Unit 1,Disso - Unit 2,Disso - Unit 3,Disso - Unit 4,Disso - Unit 5,Disso - Unit 6,Disso - Unit 7,Disso - Unit 8,Disso - Unit 9,Disso - Unit 10,Disso - Unit 11,Disso - Unit 12,TAMC  (<=1000 CFU/g),TYMC  (<100 CFU/g),E-Coli  (ABSENT_1G),Absence of Salmonella Species (ABSENT_10G),BTGN (<=100 CFU/g),Critical,Major,Minor,Non-Critical,Total Defects
1,0J6030P-MICRO-0000506,0J6030P,1262312,80,,77.1,96.38,5,96.8,1.3,92,89,S1,90,89,90,94,94,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,,,,,
2,1E6048P-MICRO-0025688,1E6048P,1262312,80,,79.3,99.13,5.6,98.8,2.3,95,90,S1,90,95,100,95,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
3,1E6049P-MICRO-0025693,1E6049P,1262312,80,,79.1,98.88,5.8,98.7,2.4,94,90,S1,90,96,96,93,96,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,9,0,9
4,1M6015P-MICRO-0048903,1M6015P,1262312,80,,80.8,101.00,2.2,101,0.9,95,93,S1,94,95,93,99,95,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
5,2C6059P-MICRO-0061171,2C6059P,1262312,80,,79.9,99.88,2.1,99.5,0.9,92,91,S1,92,91,92,94,94,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,2,0,2
6,2H6026P-MICRO-0077644,2H6026P,1262312,80,,77.5,96.88,5.8,96.6,1.6,88,83,S2,89,88,86,88,83,90,89,91,90,86,85,90,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,7,7
7,2H6046P-MICRO-0077719,2H6046P,1262312,80,,81,101.25,4.9,100,2,92,88,S1,88,91,94,93,91,95,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
8,2L6048P-MICRO-0092354,2L6048P,1262312,80,,80.2,100.25,3.6,102,1.3,96,93,S1,93,94,99,96,95,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
9,3B6009P-MICRO-0098814,3B6009P,1262312,80,,79.3,99.13,2.5,98.9,1.1,93,90,S1,94,94,95,90,92,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
10,3C6020P-MICRO-0104478,3C6020P,1262312,80,,77,96.25,3.7,99.9,1.5,94,88,S1,94,96,91,100,88,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,6,0,6
11,3F6015P-MICRO-0112196,3F6015P,1262312,80,,79.8,99.75,3,100.4,1.2,93,90,S1,92,94,95,95,92,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
12,3H65373S-MICRO-0122536,3H65373S,1262312,80,,79.8,99.75,3.3,100.6,1.4,90,87,S1,87,88,88,93,92,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
13,3H65374S-MICRO-0122541,3H65374S,1262312,80,,79.2,99.00,4.2,100.5,1.7,91,89,S1,90,93,90,89,93,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
14,3M53520S-MICRO-0136608,3M53520S,1262312,80,,80.2,100.25,1.8,100.6,0.8,96,94,S1,96,96,94,96,95,97,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
15,3M53521S-MICRO-0136614,3M53521S,1262312,80,,79.6,99.50,3.4,99.6,1.4,95,93,S1,93,99,93,98,94,93,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
16,3M54998S-MICRO-0138213,3M54998S,1262312,80,,78.4,98.00,4.8,98,1.8,92,90,S1,90,92,92,94,95,92,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
17,4C84997S-MICRO-0146822,4C84997S,1262312,80,,81.3,101.63,2.8,101,1.2,97,94,S1,96,95,99,94,99,99,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
18,4E78060S-MICRO-0155366,4E78060S,1262312,80,,79.9,99.88,3.1,98.5,1.3,97,90,S1,97,94,97,103,99,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
19,4H69149S-MICRO-0168495,4H69149S,1262312,80,,76.9,96.13,7.4,95.5,1.8,89,85,S1,85,89,87,93,91,88,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,7,7
20,4J80191S-MICRO-0172800,4J80191S,1262312,80,,80,100.00,2.3,100,1,98,94,S1,99,97,97,99,99,94,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,9,9
21,4J82401S-MICRO-0174802,4J82401S,1262312,80,,78.7,98.38,2.4,100.3,1,93,87,S1,87,94,94,91,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
22,4L76126S-MICRO-0180562,4L76126S,1262312,80,,80.1,100.13,2.6,99.4,1.1,93,89,S1,89,95,96,91,96,91,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,3,3
23,4L76127S-MICRO-0180567,4L76127S,1262312,80,,79.2,99.00,1.8,98.8,0.7,97,94,S1,97,100,97,94,97,96,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,4,4
24,4M57704S-MICRO-0185428,4M57704S,1262312,80,,79.2,99.00,4.5,99.4,1.9,92,86,S1,86,98,87,90,93,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5B82540S-MICRO-0195011,5B82540S,1262312,80,,81.3,101.63,3.7,100.8,1.6,92,88,S1,89,92,92,93,88,98,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,0,0,0
,5B82537S-MICRO-0195016,5B82537S,1262312,80,,80,100.00,2.6,100.3,1.1,90,86,S1,86,91,86,90,97,90,,,,,,,<10,<10,ABSENT_1G,ABSENT_10G,<10,0,0,1,3,4
