x,cv,s
85.1,0.6368977673,0.542
85.2,0.676056338,0.576
85.3,0.715123095,0.61
85.4,0.7540983607,0.644
85.5,0.7929824561,0.678
85.6,0.8317757009,0.712
85.7,0.8704784131,0.746
85.8,0.9079254079,0.779
85.9,0.9464493597,0.813
86,0.9848837209,0.847
86.1,1.0232288037,0.881
86.2,1.0614849188,0.915
86.3,1.0996523754,0.949
86.4,1.1377314815,0.983
86.5,1.1757225434,1.017
86.6,1.2136258661,1.051
86.7,1.2514417532,1.085
86.8,1.2891705069,1.119
86.9,1.3268124281,1.153
87,1.3643678161,1.187
87.1,1.401836969,1.221
87.2,1.4380733945,1.254
87.3,1.4753722795,1.288
87.4,1.5125858124,1.322
87.5,1.5497142857,1.356
87.6,1.5867579909,1.39
87.7,1.6237172178,1.424
87.8,1.6605922551,1.458
87.9,1.6973833902,1.492
88,1.7340909091,1.526
88.1,1.7707150965,1.56
88.2,1.8072562358,1.594
88.3,1.8437146093,1.628
88.4,1.8800904977,1.662
88.5,1.9163841808,1.696
88.6,1.9514672686,1.729
88.7,1.9875986471,1.763
88.8,2.0236486486,1.797
88.9,2.0596175478,1.831
89,2.095505618,1.865
89.1,2.1313131313,1.899
89.2,2.1670403587,1.933
89.3,2.20268757,1.967
89.4,2.2382550336,2.001
89.5,2.2737430168,2.035
89.6,2.3091517857,2.069
89.7,2.3444816054,2.103
89.8,2.3797327394,2.137
89.9,2.4137931034,2.17
90,2.4488888889,2.204
90.1,2.4839067703,2.238
90.2,2.5188470067,2.272
90.3,2.553709856,2.306
90.4,2.5884955752,2.34
90.5,2.6232044199,2.374
90.6,2.6578366446,2.408
90.7,2.6923925028,2.442
90.8,2.7268722467,2.476
90.9,2.7612761276,2.51
91,2.7956043956,2.544
91.1,2.8287596048,2.577
91.2,2.8629385965,2.611
91.3,2.8970427163,2.645
91.4,2.9310722101,2.679
91.5,2.9650273224,2.713
91.6,2.9989082969,2.747
91.7,3.0327153762,2.781
91.8,3.0664488017,2.815
91.9,3.1001088139,2.849
92,3.1336956522,2.883
92.1,3.1672095548,2.917
92.2,3.1995661605,2.95
92.3,3.232936078,2.984
92.4,3.2662337662,3.018
92.5,3.2994594595,3.052
92.6,3.3326133909,3.086
92.7,3.3656957929,3.12
92.8,3.3987068966,3.154
92.9,3.4316469322,3.188
93,3.4634408602,3.221
93.1,3.4962406015,3.255
93.2,3.5289699571,3.289
93.3,3.5616291533,3.323
93.4,3.5942184154,3.357
93.5,3.6267379679,3.391
93.6,3.6581196581,3.424
93.7,3.6905016009,3.458
93.8,3.7228144989,3.492
93.9,3.7550585729,3.526
94,3.7872340426,3.56
94.1,3.8193411265,3.594
94.2,3.8503184713,3.627
94.3,3.882290562,3.661
94.4,3.9141949153,3.695
94.5,3.946031746,3.729
94.6,3.976744186,3.762
94.7,4.0084477297,3.796
94.8,4.0400843882,3.83
94.9,4.071654373,3.864
95,4.1021052632,3.897
95.1,4.1335436383,3.931
95.2,4.1649159664,3.965
95.3,4.1951731375,3.998
95.4,4.2264150943,4.032
95.5,4.257591623,4.066
95.6,4.2876569038,4.099
95.7,4.3187042842,4.133
95.8,4.3496868476,4.167
95.9,4.3795620438,4.2
96,4.4104166667,4.234
96.1,4.4401664932,4.267
96.2,4.4708939709,4.301
96.3,4.5015576324,4.335
96.4,4.531120332,4.368
96.5,4.5616580311,4.402
96.6,4.5910973085,4.435
96.7,4.6215098242,4.469
96.8,4.6508264463,4.502
96.9,4.6811145511,4.536
97,4.7103092784,4.569
97.1,4.7404737384,4.603
97.2,4.7695473251,4.636
97.3,4.7995889003,4.67
97.4,4.8285420945,4.703
97.5,4.8574358974,4.736
97.6,4.887295082,4.77
97.7,4.9160696008,4.803
97.8,4.9447852761,4.836
97.9,4.9744637385,4.87
98,5.0030612245,4.903
98.1,5.0316004077,4.936
98.2,5.0600814664,4.969
98.3,5.0885045778,5.002
98.4,5.1168699187,5.035
98.5,5.145177665,5.068
98.6,5.1724137931,5.1
98.7,5.1995947315,5.132
98.8,5.2267206478,5.164
98.9,5.2527805865,5.195
99,5.2787878788,5.226
99.1,5.3047426842,5.257
99.2,5.3286290323,5.286
99.3,5.3524672709,5.315
99.4,5.3752515091,5.343
99.5,5.3969849246,5.37
99.6,5.4176706827,5.396
99.7,5.4363089268,5.42
99.8,5.4539078156,5.443
99.9,5.4704704705,5.465
100,5.485,5.485
100.1,5.4595404595,5.465
100.2,5.4321357285,5.443
100.3,5.4037886341,5.42
100.4,5.374501992,5.396
100.5,5.3432835821,5.37
100.6,5.3111332008,5.343
100.7,5.2780536246,5.315
100.8,5.244047619,5.286
100.9,5.2101090188,5.257
101,5.1742574257,5.226
101.1,5.1384767557,5.195
101.2,5.1027667984,5.164
101.3,5.0661401777,5.132
101.4,5.0295857988,5.1
101.5,4.9931034483,5.068
101.6,4.9557086614,5.035
101.7,4.918387414,5.002
101.8,4.8811394892,4.969
101.9,4.8439646712,4.936
102,4.8068627451,4.903
102.1,4.7698334966,4.87
102.2,4.7318982387,4.836
102.3,4.6950146628,4.803
102.4,4.658203125,4.77
102.5,4.6204878049,4.736
102.6,4.5838206628,4.703
102.7,4.547224927,4.67
102.8,4.5097276265,4.636
102.9,4.4732750243,4.603
103,4.4359223301,4.569
103.1,4.3996120272,4.536
103.2,4.3624031008,4.502
103.3,4.3262342691,4.469
103.4,4.2891682785,4.435
103.5,4.2531400966,4.402
103.6,4.2162162162,4.368
103.7,4.1803278689,4.335
103.8,4.1435452794,4.301
103.9,4.1068334937,4.267
104,4.0711538462,4.234
104.1,4.0345821326,4.2
104.2,3.9990403071,4.167
104.3,3.9626078619,4.133
104.4,3.9262452107,4.099
104.5,3.8909090909,4.066
104.6,3.8546845124,4.032
104.7,3.8185291308,3.998
104.8,3.7833969466,3.965
104.9,3.7473784557,3.931
105,3.7114285714,3.897
105.1,3.6764985728,3.864
105.2,3.6406844106,3.83
105.3,3.6049382716,3.796
105.4,3.569259962,3.762
105.5,3.5345971564,3.729
105.6,3.4990530303,3.695
105.7,3.4635761589,3.661
105.8,3.4281663516,3.627
105.9,3.3937677054,3.594
106,3.358490566,3.56
106.1,3.3232799246,3.526
106.2,3.2881355932,3.492
106.3,3.2530573848,3.458
106.4,3.2180451128,3.424
106.5,3.1840375587,3.391
106.6,3.1491557223,3.357
106.7,3.114339269,3.323
106.8,3.079588015,3.289
106.9,3.0449017774,3.255
107,3.0102803738,3.221
107.1,2.9766573296,3.188
107.2,2.9421641791,3.154
107.3,2.9077353215,3.12
107.4,2.8733705773,3.086
107.5,2.8390697674,3.052
107.6,2.8048327138,3.018
107.7,2.7706592386,2.984
107.8,2.7365491651,2.95
107.9,2.703429101,2.917
108,2.6694444444,2.883
108.1,2.6355226642,2.849
108.2,2.601663586,2.815
108.3,2.567867036,2.781
108.4,2.5341328413,2.747
108.5,2.5004608295,2.713
108.6,2.4668508287,2.679
108.7,2.4333026679,2.645
108.8,2.3998161765,2.611
108.9,2.3663911846,2.577
109,2.3339449541,2.544
109.1,2.3006416132,2.51
109.2,2.2673992674,2.476
109.3,2.2342177493,2.442
109.4,2.2010968921,2.408
109.5,2.1680365297,2.374
109.6,2.1350364964,2.34
109.7,2.1020966272,2.306
