x,cv,s
85.1,0.512338425,0.602042803
85.2,0.54342723,0.637825387
85.3,0.574443142,0.673438619
85.4,0.606557377,0.71025454
85.5,0.637426901,0.745528539
85.6,0.668224299,0.780635863
85.7,0.700116686,0.816938957
85.8,0.730769231,0.85171239
85.9,0.761350407,0.886321778
86,0.791860465,0.920767983
86.1,0.823461092,0.956400804
86.2,0.853828306,0.990520077
86.3,0.884125145,1.024478731
86.4,0.915509259,1.059617198
86.5,0.94566474,1.093254035
86.6,0.975750577,1.126732768
86.7,1.005767013,1.160054225
86.8,1.036866359,1.194546497
86.9,1.066743383,1.2275528
87,1.096551724,1.26040428
87.1,1.127439724,1.29441989
87.2,1.157110092,1.326961115
87.3,1.186712486,1.359349927
87.4,1.21624714,1.391587117
87.5,1.246857143,1.424979592
87.6,1.276255708,1.456912909
87.7,1.305587229,1.488696954
87.8,1.335990888,1.521629713
87.9,1.365187713,1.553114577
88,1.394318182,1.58445248
88.1,1.42338252,1.615644177
88.2,1.453514739,1.647975895
88.3,1.482446206,1.678874525
88.4,1.511312217,1.709629205
88.5,1.541242938,1.741517444
88.6,1.569977427,1.771983552
88.7,1.598647125,1.80230792
88.8,1.627252252,1.832491275
88.9,1.656917885,1.863799646
89,1.685393258,1.89370029
89.1,1.713804714,1.923462081
89.2,1.742152466,1.953085724
89.3,1.771556551,1.983825925
89.4,1.799776286,2.013172579
89.5,1.827932961,2.042383197
89.6,1.857142857,2.072704081
89.7,1.885172798,2.101641915
89.8,1.913140312,2.130445782
89.9,1.941045606,2.159116358
90,1.97,2.188888889
90.1,1.997780244,2.217292169
90.2,2.025498891,2.245564181
90.3,2.054263566,2.274931967
90.4,2.081858407,2.302940716
90.5,2.109392265,2.330820182
90.6,2.136865342,2.358571018
90.7,2.165380375,2.387409454
90.8,2.192731278,2.414902289
90.9,2.220022002,2.442268429
91,2.248351648,2.470716097
91.1,2.275521405,2.497828106
91.2,2.302631579,2.524815328
91.3,2.329682366,2.551678386
91.4,2.357768053,2.579614938
91.5,2.384699454,2.606228911
91.6,2.411572052,2.632720581
91.7,2.439476554,2.660279775
91.8,2.466230937,2.686526075
91.9,2.492927095,2.712651899
92,2.519565217,2.738657845
92.1,2.54723127,2.76572342
92.2,2.573752711,2.791488841
92.3,2.600216685,2.81713617
92.4,2.626623377,2.842665992
92.5,2.654054054,2.869247626
92.6,2.680345572,2.894541654
92.7,2.706580367,2.919719921
92.8,2.732758621,2.944782997
92.9,2.759956943,2.970890143
93,2.786021505,2.995722048
93.1,2.812030075,3.020440467
93.2,2.837982833,3.045045958
93.3,2.864951768,3.070687854
93.4,2.890792291,3.095066693
93.5,2.91657754,3.119334267
93.6,2.942307692,3.143491124
